timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1742003734008,211,2-Enter the store,200,,Scenario1-Search- jp@gc - Ultimate Thread Group 1-52,text,true,,5664,529,12,18,https://petstore.octoperf.com/actions/Catalog.action,211,0,0
1742003733427,974,01- Open URL,200,"Number of samples in transaction : 2, number of failing samples : 0",Scenario1-Search- jp@gc - Ultimate Thread Group 1-58,,true,,6442,1094,12,19,null,0,2,585
1742003733428,784,1-Open Pets Store,200,,Scenario1-Search- jp@gc - Ultimate Thread Group 1-58,text,true,,1452,512,12,18,https://petstore.octoperf.com/,784,0,585
1742003734213,190,2-Enter the store,200,,Scenario1-Search- jp@gc - Ultimate Thread Group 1-58,text,true,,4990,582,12,19,https://petstore.octoperf.com/actions/Catalog.action,189,0,0
1742003732167,195,02-Search,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario1-Search- jp@gc - Ultimate Thread Group 1-56,,true,,4081,971,12,19,null,0,2091,0
1742003734259,195,3-Searrch for Item,200,,Scenario1-Search- jp@gc - Ultimate Thread Group 1-56,text,true,,4081,971,12,19,https://petstore.octoperf.com/actions/Catalog.action;jsessionid=154FEE87D60B4880EDADEB52C4C774F5,195,0,0
1742003733678,957,01- Open URL,200,"Number of samples in transaction : 2, number of failing samples : 0",Scenario1-Search- jp@gc - Ultimate Thread Group 1-51,,true,,7116,988,12,19,null,0,2,577
1742003733679,765,1-Open Pets Store,200,,Scenario1-Search- jp@gc - Ultimate Thread Group 1-51,text,true,,1452,459,12,19,https://petstore.octoperf.com/,765,0,577
1742003734444,192,2-Enter the store,200,,Scenario1-Search- jp@gc - Ultimate Thread Group 1-51,text,true,,5664,529,12,19,https://petstore.octoperf.com/actions/Catalog.action,189,0,0
1742003732673,184,02-Search,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario1-Search- jp@gc - Ultimate Thread Group 1-55,,true,,3441,971,13,20,null,0,2007,0
1742003734681,184,3-Searrch for Item,200,,Scenario1-Search- jp@gc - Ultimate Thread Group 1-55,text,true,,3441,971,13,20,https://petstore.octoperf.com/actions/Catalog.action;jsessionid=154FEE87D60B4880EDADEB52C4C774F5,184,0,0
1742003733896,997,01- Open URL,200,"Number of samples in transaction : 2, number of failing samples : 0",Scenario1-Search- jp@gc - Ultimate Thread Group 1-57,,true,,6439,1094,13,20,null,0,2,609
1742003733897,811,1-Open Pets Store,200,,Scenario1-Search- jp@gc - Ultimate Thread Group 1-57,text,true,,1452,512,13,20,https://petstore.octoperf.com/,811,0,609
1742003734709,186,2-Enter the store,200,,Scenario1-Search- jp@gc - Ultimate Thread Group 1-57,text,true,,4987,582,13,20,https://petstore.octoperf.com/actions/Catalog.action,184,0,0
1742003734320,775,02_01_OpenURL,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario2-View Details- jp@gc - Ultimate Thread Group 2-25,,true,,5664,529,6,20,null,0,2,584
1742003734321,775,02_01_OpenURL,200,,Scenario2-View Details- jp@gc - Ultimate Thread Group 2-25,text,true,,5664,529,6,20,https://petstore.octoperf.com/actions/Catalog.action,770,0,584
1742003734169,973,01- Open URL,200,"Number of samples in transaction : 2, number of failing samples : 0",Scenario1-Search- jp@gc - Ultimate Thread Group 1-50,,true,,7116,988,13,20,null,0,0,576
1742003734169,767,1-Open Pets Store,200,,Scenario1-Search- jp@gc - Ultimate Thread Group 1-50,text,true,,1452,459,13,20,https://petstore.octoperf.com/,767,0,576
1742003734936,206,2-Enter the store,200,,Scenario1-Search- jp@gc - Ultimate Thread Group 1-50,text,true,,5664,529,13,20,https://petstore.octoperf.com/actions/Catalog.action,204,0,0
1742003730077,209,02_02_Click on Category,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario2-View Details- jp@gc - Ultimate Thread Group 2-30,,true,,3668,638,7,22,null,0,5080,0
1742003735158,209,02_02_Click on Category,200,,Scenario2-View Details- jp@gc - Ultimate Thread Group 2-30,text,true,,3668,638,7,22,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=REPTILES,209,0,0
1742003733183,189,02-Search,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario1-Search- jp@gc - Ultimate Thread Group 1-54,,true,,3441,971,14,22,null,0,2047,0
1742003735231,189,3-Searrch for Item,200,,Scenario1-Search- jp@gc - Ultimate Thread Group 1-54,text,true,,3441,971,14,22,https://petstore.octoperf.com/actions/Catalog.action;jsessionid=154FEE87D60B4880EDADEB52C4C774F5,189,0,0
1742003734454,993,01- Open URL,200,"Number of samples in transaction : 2, number of failing samples : 0",Scenario1-Search- jp@gc - Ultimate Thread Group 1-56,,true,,6438,1094,14,22,null,0,2,591
1742003734455,802,1-Open Pets Store,200,,Scenario1-Search- jp@gc - Ultimate Thread Group 1-56,text,true,,1452,512,14,21,https://petstore.octoperf.com/,802,0,591
1742003735258,191,2-Enter the store,200,,Scenario1-Search- jp@gc - Ultimate Thread Group 1-56,text,true,,4986,582,14,22,https://petstore.octoperf.com/actions/Catalog.action,190,0,0
1742003733236,190,02-Search,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario1-Search- jp@gc - Ultimate Thread Group 1-61,,true,,3445,975,14,22,null,0,2082,0
1742003735319,190,3-Searrch for Item,200,,Scenario1-Search- jp@gc - Ultimate Thread Group 1-61,text,true,,3445,975,14,22,https://petstore.octoperf.com/actions/Catalog.action;jsessionid=154FEE87D60B4880EDADEB52C4C774F5,190,0,0
1742003734662,967,01- Open URL,200,"Number of samples in transaction : 2, number of failing samples : 0",Scenario1-Search- jp@gc - Ultimate Thread Group 1-49,,true,,7116,988,14,22,null,0,2,582
1742003734663,774,1-Open Pets Store,200,,Scenario1-Search- jp@gc - Ultimate Thread Group 1-49,text,true,,1452,459,14,22,https://petstore.octoperf.com/,774,0,582
1742003735438,193,2-Enter the store,200,,Scenario1-Search- jp@gc - Ultimate Thread Group 1-49,text,true,,5664,529,14,22,https://petstore.octoperf.com/actions/Catalog.action,190,0,0
1742003733445,191,02-Search,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario1-Search- jp@gc - Ultimate Thread Group 1-60,,true,,3442,972,15,23,null,0,2083,0
1742003735528,191,3-Searrch for Item,200,,Scenario1-Search- jp@gc - Ultimate Thread Group 1-60,text,true,,3442,972,15,23,https://petstore.octoperf.com/actions/Catalog.action;jsessionid=154FEE87D60B4880EDADEB52C4C774F5,191,0,0
1742003734866,979,01- Open URL,200,"Number of samples in transaction : 2, number of failing samples : 0",Scenario1-Search- jp@gc - Ultimate Thread Group 1-55,,true,,6438,1094,15,24,null,0,1,595
1742003734866,781,1-Open Pets Store,200,,Scenario1-Search- jp@gc - Ultimate Thread Group 1-55,text,true,,1452,512,14,22,https://petstore.octoperf.com/,781,0,595
1742003735648,198,2-Enter the store,200,,Scenario1-Search- jp@gc - Ultimate Thread Group 1-55,text,true,,4986,582,15,24,https://petstore.octoperf.com/actions/Catalog.action,195,0,0
